,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,ville,city
17,parlé,speak
18,arrivé,come
19,devrait,should
20,heures,hours
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
25,parle,speak
26,compris,understood
27,étaient,were
28,attention,Warning
29,pourrais,could
30,affaire,case
31,donner,give
32,type,type
33,donné,given
34,corps,body
35,yeux,eyes
36,écoute,listen
37,dont,whose
38,trouve,find
39,premier,first
40,perdu,lost
41,main,hand
42,première,first
43,côté,side
44,vieux,old
45,sois,be
46,tiens,here
47,matin,morning
48,tellement,so much
49,enfant,child
50,point,point
51,venu,came
52,suite,after
53,pardon,sorry
54,venez,come
55,devant,in front of
56,vers,towards
57,minutes,minutes
58,demandé,request
59,chambre,bedroom
60,mis,placed
61,belle,beautiful
62,aimerais,would like to
63,aujourd'hui,today
64,mari,husband
65,cause,cause
66,enfin,finally
67,espère,hope
68,eau,water
69,attendez,Wait
70,nouvelle,new
71,boulot,job
72,arrêter,Stop
73,terre,Earth
74,compte,account
75,loin,far
76,fin,end
77,chérie,sweetheart
78,gros,large
79,plutôt,rather
80,filles,girls
81,jouer,to play
